   219	SPEAR OF DESTINY 	LIBERATOR 	67 	103
   220	EVERYTHING BUT THE GIRL 	MINE 	58 	103
   221	PSYCHEDELIC FURS 	THE GHOST IN YOU 	68 	102
   222	NENA 	JUST A DREAM 	70 	102
   223	HAZELL DEAN 	EVERGREEN/JEALOUS LOVE 	63 	102
   224	DARYL HALL AND JOHN OATES 	ADULT EDUCATION 	63 	102
   225	COOL NOTES 	I FORGOT 	63 	102
   226	BOB MARLEY & THE WAILERS 	COULD YOU BE LOVED {1984} 	71 	102
   227	ARMOURY SHOW 	CASTLES IN SPAIN 	69 	102
   228	SWITCH 	KEEPING SECRETS 	61 	101
   229	INTAFERON 	STEAMHAMMER SAM 	77 	100
   230	FICTION FACTORY 	GHOST OF LOVE 	64 	100
   231	LIMAHL 	TOO MUCH TROUBLE 	64 	99
   232	EVERYTHING BUT THE GIRL 	NATIVE LAND 	73 	99
   233	ALAN PARSONS PROJECT 	DON'T ANSWER ME 	58 	99
   234	GARY MOORE 	HOLD ON TO LOVE 	65 	98
   235	DONNA SUMMER 	STOP LOOK AND LISTEN 	57 	98
   236	ORANGE JUICE 	BRIDGE 	67 	97
   237	CHRIS REA 	I DON'T KNOW WHAT IT IS BUT I LOVE IT 	65 	97
   238	SYSTEM 	I WANNA MAKE YOU FEEL GOOD 	73 	95
   239	DOLLY PARTON 	HERE YOU COME AGAIN 	75 	95
   240	DIVINE 	SHAKE IT UP 	82 	95
   241	ADVENTURES 	ANOTHER SILENT DAY 	71 	95
   242	ELVIS COSTELLO AND THE ATTRACTIONS 	THE ONLY FLAME IN TOWN 	71 	94
   243	TALK TALK 	DUM DUM GIRL 	74 	93
   244	SHALAMAR 	AMNESIA 	61 	93
   245	PAUL QUINN AND EDWYN COLLINS 	PALE BLUE EYES 	72 	93
   246	MOTORHEAD 	KILLED BY DEATH 	51 	93
   247	BELLE STARS 	'80'S ROMANCE 	71 	93
   248	WORKING WEEK 	VENCEREMOS - WE WILL WIN 	64 	92
   249	WHITESNAKE 	STANDING IN THE SHADOW 	62 	92
   250	DIVINE 	I'M SO BEAUTIFUL 	52 	92
   251	DIFFORD AND TILBROOK 	LOVE'S CRASHING WAVES 	57 	92
   252	ZZ TOP 	TV DINNERS 	67 	91
   253	PETER GABRIEL 	WALK THROUGH THE FIRE 	69 	91
   254	SCRITTI POLITTI 	HYPNOTIZE 	68 	90
   255	HERBIE HANCOCK 	HARDROCK 	65 	90
   256	UB40 	RIDDLE ME 	59 	87
   257	TRUTH 	NO STONE UNTURNED 	66 	87
   258	JON AND VANGELIS 	STATE OF INDEPENDENCE 	67 	86
   259	LLOYD COLE AND THE COMMOTIONS 	RATTLESNAKES 	65 	85
   260	JETHRO TULL 	LAP OF LUXURY 	70 	85
   261	FIAT LUX 	BLUE EMOTION 	59 	85
   262	CHRIS REA 	ACE OF HEARTS 	79 	85
   263	DAVID SYLVIAN 	PULLING PUNCHES 	56 	84
   264	ROGER TAYLOR 	MAN ON FIRE 	66 	83
   265	TWEETS 	THE BIRDIE SONG {1983} 	81 	82
   266	ROBIN GIBB 	ANOTHER LONELY NIGHT IN NEW YORK 	71 	82
   267	JEFFREY OSBORNE 	DON'T STOP 	61 	81
   268	DUNCAN BROWNE 	THEME FROM TRAVELLING MAN 	68 	81
   269	CHERYL LYNN 	ENCORE 	68 	81
   270	BEATLES 	CAN'T BUY ME LOVE {1984} 	53 	81
   271	TREVOR WALTERS 	NEVER LET HER SLIP AWAY 	73 	80
   272	LOOSE ENDS 	TELL ME WHAT YOU WANT 	74 	80
   273	CHAMPAIGN 	OFF AND ON LOVE 	76 	80
   274	IMAGINATION 	STATE OF LOVE 	67 	79
   275	FASHION 	EYE TALK 	69 	79
   276	FIRST LIGHT 	WISH YOU WERE HERE 	71 	78
   277	CHARME 	GEORGY PORGY 	68 	77
   278	LEFTURNO 	OUT OF SIGHT 	78 	76
   279	HAROLD MELVIN AND THE BLUENOTES 	TODAY'S YOUR LUCKY DAY 	66 	75
   280	WOMACK AND WOMACK 	BABY I'M SCARED OF YOU 	72 	74
   281	ROGER WATERS 	5.01AM (THE PROS AND CONS OF HITCH-HIKING) 	76 	74
   282	ORANGE JUICE 	LEAN PERIOD 	74 	74
   283	JOE FAGIN 	WHY DON'T WE SPEND THE NIGHT 	82 	74
   284	NATALIE CASEY 	CHIC CHIC CHIC CHICKEN 	72 	73
   285	JONATHAN KING 	SPACE ODDITY/MAJOR TOM (COMING HOME) 	77 	73
   286	GARY NUMAN 	MY DYING MACHINE 	66 	73
   287	TALKING HEADS 	SLIPPERY PEOPLE 	68 	72
   288	TRACIE 	SOULS ON FIRE 	73 	71
   289	JOE JACKSON 	BE MY NUMBER TWO 	70 	71
   290	FLYING PICKETS 	WHO'S THAT GIRL 	71 	71
   291	BOOMTOWN RATS 	TONIGHT 	73 	71
   292	A BIGGER SPLASH 	DON'T BELIEVE A WORD 	76 	71
   293	TOM ROBINSON 	BACK IN THE OLD COUNTRY 	79 	69
   294	SCORPIONS 	BIG CITY NIGHTS 	76 	68
   295	RICK JAMES 	17 	76 	67
   296	JERMAINE JACKSON AND PIA ZADORA 	WHEN THE RAIN BEGINS TO FALL 	68 	67
   297	DALI'S CAR 	THE JUDGEMENT IS THE MIRROR 	66 	67
   298	COLOUR FIELD 	TAKE 	70 	65
   299	JUDGE DREAD 	RELAX 	76 	64
   300	HUEY LEWIS AND THE NEWS 	THE HEART OF ROCK 'N' ROLL 	78 	64
   301	BROTHERS JOHNSON 	YOU KEEP ME COMING BACK 	77 	64
   302	EVELYN 'CHAMPAGNE' KING 	I'M SO ROMANTIC 	76 	63
   303	DAVID ESSEX 	FISHING FOR THE MOON 	76 	63
   304	REAL TO REEL 	LOVE ME LIKE THIS 	68 	62
   305	HEAVY PETTIN' 	LOVE TIMES LOVE 	69 	61
   306	BRASS CONSTRUCTION 	INTERNATIONAL 	70 	61
   307	BILL NELSON 	ACCELERATION 	78 	61
   308	BEATLES 	I FEEL FINE {1984} 	65 	61
   309	ORCHESTRAL MANOEUVRES IN THE DARK 	NEVER TURN AWAY 	70 	60
